"STATION","NAME","DATE","CDSD","EMNT","EMXP","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"CS000081003","PUERTO LIMON, CS","1997-06","1266.3","21.1",,"31.8","0.0",,"26.5","30.3","22.8"
"CS000081003","PUERTO LIMON, CS","1997-07","1519.0","21.4","108.2","31.0","0.0","617.6","26.5","29.7","23.3"
"CS000081003","PUERTO LIMON, CS","1997-08","1775.3","21.3",,"31.5","0.0",,"26.6","30.0","23.2"
"CS000081003","PUERTO LIMON, CS","1997-09","2026.6","21.7",,"31.9","0.0",,"26.7","30.6","22.8"
"CS000081003","PUERTO LIMON, CS","1997-10","2284.1","21.3",,"32.2","0.0",,"26.6","30.4","22.9"
"CS000081003","PUERTO LIMON, CS","1997-11","2523.8","21.4",,"31.2","0.0",,"26.3","29.7","22.9"
"CS000081003","PUERTO LIMON, CS","1997-12","2746.3","20.0",,"31.3","0.0",,"25.5","29.1","21.9"
"CS000081003","PUERTO LIMON, CS","1998-01","220.7","19.9",,"31.2","0.0",,"25.7","29.7","21.7"
"CS000081003","PUERTO LIMON, CS","1998-02","437.9","20.0",,"31.0","0.0",,"26.1","29.8","22.4"
"CS000081003","PUERTO LIMON, CS","1998-03","680.0","19.8",,"31.6","0.0",,"26.1","29.9","22.3"
"CS000081003","PUERTO LIMON, CS","1998-04","919.1","21.2",,"31.9","0.0",,"26.3","29.9","22.7"
"CS000081003","PUERTO LIMON, CS","1998-05","1186.7","20.5",,"32.5","0.0",,"27.0","30.5","23.4"
"CS000081003","PUERTO LIMON, CS","1998-06","1443.9","22.0",,"31.7","0.0",,"26.9","30.4","23.4"
"CS000081003","PUERTO LIMON, CS","1998-07","1695.0","21.5",,"32.0","0.0",,"26.4","30.2","22.6"
"CS000081003","PUERTO LIMON, CS","1998-08","1943.0","21.4",,"32.3","0.0",,"26.3","30.1","22.5"
"CS000081003","PUERTO LIMON, CS","1998-09","2211.0","21.5",,"33.0","0.0",,"27.3","31.9","22.7"
"CS000081003","PUERTO LIMON, CS","1998-10","2465.9","21.0",,"32.5","0.0",,"26.6","30.5","22.6"
"CS000081003","PUERTO LIMON, CS","1998-11","2698.8","20.4",,"32.0","0.0",,"26.1","30.1","22.1"
"CS000081003","PUERTO LIMON, CS","1998-12","2904.4","20.5",,"30.7","0.0",,"25.0","27.9","22.1"
"CS000081003","PUERTO LIMON, CS","1999-01","205.7","18.0",,"30.5","0.0",,"25.0","29.1","20.8"
"CS000081003","PUERTO LIMON, CS","1999-02","384.8","16.6",,"30.4","0.0",,"24.7","28.9","20.6"
"CS000081003","PUERTO LIMON, CS","1999-03","591.8","18.1",,"30.8","0.0",,"25.0","29.3","20.7"
"CS000081003","PUERTO LIMON, CS","1999-04","815.7","18.7",,"31.0","0.0",,"25.8","29.8","21.8"
"CS000081003","PUERTO LIMON, CS","1999-05","1075.1","20.2",,"31.7","0.0",,"26.7","30.8","22.6"
"CS000081003","PUERTO LIMON, CS","1999-06","1309.9","21.1",,"31.2","0.0",,"26.2","29.9","22.4"
"CS000081003","PUERTO LIMON, CS","1999-07","1538.1","19.7",,"31.1","0.0",,"25.7","29.4","22.0"
"CS000081003","PUERTO LIMON, CS","1999-08","1771.7","20.0",,"31.6","0.0",,"25.9","29.8","21.9"
"CS000081003","PUERTO LIMON, CS","1999-09","2003.4","20.2",,"31.5","0.0",,"26.1","30.4","21.7"
"CS000081003","PUERTO LIMON, CS","1999-10","2235.3","20.1",,"31.5","0.0",,"25.8","29.8","21.8"
"CS000081003","PUERTO LIMON, CS","1999-11","2444.7","19.1",,"32.5","0.0",,"25.3","28.6","22.0"
"CS000081003","PUERTO LIMON, CS","1999-12","2628.6","19.8","199.1","29.5","0.0","676.2","24.3","27.1","21.5"
"CS000081003","PUERTO LIMON, CS","2000-01","186.5","18.5",,"29.5","0.0",,"24.4","27.9","20.8"
"CS000081003","PUERTO LIMON, CS","2000-02","360.5","18.4",,"29.4","0.0",,"24.3","27.9","20.8"
"CS000081003","PUERTO LIMON, CS","2000-03","568.2","19.0",,"30.5","0.0",,"25.0","28.9","21.1"
"CS000081003","PUERTO LIMON, CS","2000-04","790.7","19.0",,"30.5","0.0",,"25.8","29.5","22.0"
"CS000081003","PUERTO LIMON, CS","2000-05","1035.6","21.4",,"31.0","0.0",,"26.2","29.4","23.1"
"CS000081003","PUERTO LIMON, CS","2000-06","1278.3","21.4",,"31.3","0.0",,"26.4","29.9","23.0"
"CS000081003","PUERTO LIMON, CS","2000-07","1512.0","21.5",,"31.1","0.0",,"26.1","29.5","22.8"
"CS000081003","PUERTO LIMON, CS","2000-08","1754.5","21.0",,"31.2","0.0",,"26.1","29.5","22.8"
"CS000081003","PUERTO LIMON, CS","2000-09","2004.4","21.7",,"32.2","0.0",,"26.7","30.8","22.5"
"CS000081003","PUERTO LIMON, CS","2000-10","2252.3","21.7",,"32.8","0.0",,"26.3","30.0","22.6"
"CS000081003","PUERTO LIMON, CS","2000-11","2478.6","20.3",,"31.1","0.0",,"25.9","29.6","22.1"
"CS000081003","PUERTO LIMON, CS","2000-12","2697.9","19.6",,"30.4","0.0",,"25.4","29.1","21.8"
"CS000081003","PUERTO LIMON, CS","2001-01","185.1","17.8",,"30.0","0.0",,"24.3","28.2","20.4"
